id,dataPoints
0,72.0
1,69.0
2,83.0
3,70.0
4,78.0
5,84.0
6,86.0
7,50.0
8,71.0
9,
10,96.0
11,71.0
12,93.0
13,90.0
14,92.0
15,61.0
16,66.0
17,
18,-inf
19,-inf
20,93.0
21,63.0
22,63.0
23,86.0
24,94.0
25,-inf
26,inf
27,-inf
28,inf
29,72.0
30,58.0
31,74.0
32,-inf
33,78.0
34,
35,91.0
36,88.0
37,-inf
38,63.0
39,inf
40,82.0
41,51.0
42,inf
43,75.0
44,-inf
45,82.0
46,55.0
47,-inf
48,82.0
49,97.0
50,
51,55.0
52,58.0
53,88.0
54,53.0
55,inf
56,54.0
57,95.0
58,57.0
59,inf
60,inf
61,70.0
62,81.0
63,51.0
64,55.0
65,58.0
66,
67,
68,77.0
69,96.0
70,61.0
71,78.0
72,
73,76.0
74,90.0
75,inf
76,51.0
77,inf
78,
79,84.0
80,88.0
81,inf
82,73.0
83,77.0
84,74.0
85,60.0
86,59.0
87,inf
88,-inf
89,89.0
90,inf
91,89.0
92,76.0
93,63.0
94,70.0
95,99.0
96,61.0
97,79.0
98,99.0
99,99.0
